file_name,snr_db,method,wer,cer,latency_ms
6930-75918-0014_pink_snr20dB.wav,20.0,wiener,0.2093,0.0512,5047.01
6930-75918-0014_pink_snr20dB.wav,20.0,spectral_subtraction,0.3023,0.0827,5016.88
6930-75918-0014_pink_snr10dB.wav,10.0,none,0.2093,0.0512,4962.89
6930-75918-0014_pink_snr10dB.wav,10.0,wiener,0.2558,0.0866,4707.84
6930-75918-0014_pink_snr10dB.wav,10.0,spectral_subtraction,0.3256,0.0945,4685.91
6930-75918-0014_pink_snr5dB.wav,5.0,none,0.2791,0.1102,5062.07
6930-75918-0014_pink_snr5dB.wav,5.0,wiener,0.3488,0.1811,4376.96
6930-75918-0014_pink_snr5dB.wav,5.0,spectral_subtraction,0.4186,0.1299,4420.15
6930-75918-0009_pink_snr20dB.wav,20.0,none,0.125,0.0348,2585.87
6930-75918-0009_pink_snr20dB.wav,20.0,wiener,0.125,0.0348,2478.98
6930-75918-0009_pink_snr20dB.wav,20.0,spectral_subtraction,0.125,0.0348,2383.55
6930-75918-0009_pink_snr10dB.wav,10.0,none,0.125,0.0348,2409.43
6930-75918-0009_pink_snr10dB.wav,10.0,wiener,0.1667,0.0696,2367.64
6930-75918-0009_pink_snr10dB.wav,10.0,spectral_subtraction,0.125,0.0609,2046.4
6930-75918-0009_pink_snr5dB.wav,5.0,none,0.125,0.0609,2064.74
6930-75918-0009_pink_snr5dB.wav,5.0,wiener,0.4583,0.2522,1434.62
6930-75918-0009_pink_snr5dB.wav,5.0,spectral_subtraction,0.5,0.3478,1402.48
6930-75918-0020_pink_snr20dB.wav,20.0,none,0.1053,0.0755,3946.29
6930-75918-0020_pink_snr20dB.wav,20.0,wiener,0.1053,0.0519,4901.29
6930-75918-0020_pink_snr20dB.wav,20.0,spectral_subtraction,0.2105,0.0896,4695.75
6930-75918-0020_pink_snr10dB.wav,10.0,none,0.2105,0.1274,4777.36
6930-75918-0020_pink_snr10dB.wav,10.0,wiener,0.2368,0.1321,4700.14
6930-75918-0020_pink_snr10dB.wav,10.0,spectral_subtraction,0.2632,0.1226,4643.34
6930-75918-0020_pink_snr5dB.wav,5.0,none,0.2368,0.1321,4736.78
6930-75918-0020_pink_snr5dB.wav,5.0,wiener,0.2368,0.1132,4765.58
6930-75918-0020_pink_snr5dB.wav,5.0,spectral_subtraction,0.6053,0.3349,4539.65
